Time,Pressure,Sea Surface Temperature,Wave Height,Wind Speed,Total Precipitation,Noise 500Hz,Noise 1000Hz,Noise 1600Hz
201607160000 ,0.357704624,0.741882527,0.45576481,0.965539386,0.046497371,0.678256124,0.49880312,0.355507396
201607160300 ,0.698127071,0.454249155,0.821053522,0.208099598,0.154335872,0.995261967,0.633433871,0.17251814
201607160600 ,0.143003216,0.906354766,0.777575181,0.442179513,0.359599774,0.13399553,0.39842133,0.859841195
201607160900 ,0.183553394,0.571875872,0.886413371,0.464090928,0.22358459,0.321624214,0.152788514,0.234229249
201607161200 ,0.259717679,0.420389589,0.145270153,0.588250531,0.770315385,0.733836897,0.21677532,0.848260549
201607161500 ,0.682653386,0.676042063,0.756669143,0.165488924,0.911469912,0.019392671,0.624210006,0.32569036
201607161800 ,0.222254758,0.120137021,0.087485473,0.139628833,0.009664126,0.964213203,0.340637489,0.859731255
201607162100 ,0.772908501,0.525753271,0.530166584,0.113150481,0.086281982,0.578002934,0.261814287,0.344197029
201607170000 ,0.178321063,0.965394186,0.044419307,0.580617409,0.914731001,0.442678877,0.968620309,0.303724322
201607170300 ,0.193178507,0.398398325,0.274451727,0.025517893,0.299545694,0.253291417,0.746062789,0.788356111
201607170600 ,0.573593227,0.267388257,0.32096651,0.085173592,0.565647351,0.117628058,0.228070709,0.787245468
201607170900 ,0.910743623,0.763244566,0.504689472,0.661593115,0.721979766,0.120965259,0.133448694,0.257628002
201607171200 ,0.362388131,0.384250904,0.381922795,0.147735021,0.229530775,0.674165324,0.092727457,0.087124243
201607171500 ,0.040418407,0.360036311,0.907534115,0.169774651,0.193220801,0.494327378,0.711673724,0.326893773
201607171800 ,0.023355204,0.831096365,0.883571653,0.82066294,0.262217034,0.859031178,0.16662432,0.391822984
201607172100 ,0.531483333,0.259412244,0.504608842,0.841666347,0.449278618,0.837789903,0.712523821,0.802724556
201607180000 ,0.392618724,0.696805255,0.496021081,0.815428802,0.83490399,0.373921096,0.344642996,0.997338038
201607180300 ,0.351696496,0.955597206,0.028582394,0.23465403,0.612423431,0.512572513,0.262246476,0.855943749
201607180600 ,0.346989445,0.548186618,0.81748899,0.735847236,0.058323947,0.068700029,0.916601019,0.615108078
201607180900 ,0.211276869,0.957403696,0.264823372,0.109807524,0.835552958,0.949681641,0.35024886,0.173221033
201607181200 ,0.21680202,0.040121952,0.510423129,0.416508621,0.797482027,0.506835817,0.107850807,0.14627379
201607181500 ,0.169353802,0.465129819,0.002130255,0.340431207,0.111364276,0.653848516,0.612107789,0.520467361
201607181800 ,0.609701337,0.481406734,0.438876776,0.025487744,0.227018407,0.475021259,0.212525092,0.257537011
201607182100 ,0.388382662,0.46030994,0.657608095,0.302820737,0.439768097,0.487531489,0.104930685,0.825544859
201607190000 ,0.724836488,0.618083798,0.701563051,0.216272627,0.988574974,0.270673779,0.895684367,0.551554063
201607190300 ,0.381198958,0.312681224,0.778859164,0.128261311,0.566027911,0.977269561,0.07200394,0.222834766
201607190600 ,0.633593,0.669274036,0.234197787,0.512720656,0.812736665,0.701672859,0.437814988,0.929722465
201607190900 ,0.232147964,0.111318498,0.827717312,0.471316054,0.427893308,0.296475337,0.283933549,0.988697342
201607191200 ,0.49170841,0.328786775,0.66213512,0.874045905,0.13922609,0.494236704,0.382865418,0.892544276
201607191500 ,0.927471243,0.368055887,0.220560109,0.056498907,0.159362982,0.342929625,0.249564473,0.476179569
201607191800 ,0.965364684,0.96629862,0.371863271,0.052319171,0.980002902,0.346537373,0.324779018,0.08290219
201607192100 ,0.744234268,0.701179034,0.39678236,0.999958173,0.319533208,0.428190977,0.962914716,0.502858449
